archetype,rank,stat,coefficient,abs_coefficient
Accurate - KP,1,kick_acc_rating,1.006031,1.006031
Accurate - KP,2,awareness_rating,0.803836,0.803836
Accurate - KP,3,kick_power_rating,0.056093,0.056093
Accurate - LS,1,awareness_rating,3.260846,3.260846
Accurate - LS,2,injury_rating,1.857943,1.857943
Accurate - LS,3,tackle_rating,1.41581,1.41581
Accurate - LS,4,spin_move_rating,1.021763,1.021763
Accurate - LS,5,man_cover_rating,0.854515,0.854515
Accurate - LS,6,stamina_rating,0.775433,0.775433
Accurate - LS,7,release_rating,-0.691873,0.691873
Accurate - LS,8,pass_block_rating,0.676026,0.676026
Accurate - LS,9,accel_rating,0.516114,0.516114
Accurate - LS,10,change_of_direction_rating,0.503379,0.503379
Accurate - LS,11,run_block_rating,0.49581,0.49581
Accurate - LS,12,play_rec_rating,-0.430151,0.430151
Accurate - LS,13,speed_rating,0.323426,0.323426
Accurate - LS,14,cit_rating,-0.321286,0.321286
Accurate - LS,15,throw_power_rating,-0.313347,0.313347
Accurate - LS,16,throw_acc_deep_rating,-0.304629,0.304629
Accurate - LS,17,throw_under_pressure_rating,-0.24002,0.24002
Accurate - LS,18,lead_block_rating,0.120782,0.120782
Accurate - LS,19,throw_acc_mid_rating,-0.070776,0.070776
Agile - C,1,awareness_rating,2.461381,2.461381
Agile - C,2,run_block_finesse_rating,2.212083,2.212083
Agile - C,3,pass_block_finesse_rating,2.046097,2.046097
Agile - C,4,run_block_rating,0.661414,0.661414
Agile - C,5,lead_block_rating,0.631878,0.631878
Agile - C,6,run_block_power_rating,0.490609,0.490609
Agile - C,7,pass_block_rating,0.468104,0.468104
Agile - C,8,strength_rating,0.420284,0.420284
Agile - C,9,impact_block_rating,0.342098,0.342098
Agile - C,10,tough_rating,-0.279749,0.279749
Agile - C,11,speed_rating,0.228724,0.228724
Agile - C,12,accel_rating,0.205469,0.205469
Agile - C,13,finesse_moves_rating,0.134454,0.134454
Agile - C,14,agility_rating,0.12302,0.12302
Agile - C,15,play_action_rating,0.088869,0.088869
Agile - C,16,carry_rating,-0.064143,0.064143
Agile - C,17,zone_cover_rating,-0.046786,0.046786
Agile - C,18,juke_move_rating,-0.027937,0.027937
Agile - C,19,block_shed_rating,-0.011957,0.011957
Agile - C,20,break_sack_rating,-0.010509,0.010509
Agile - C,21,kick_power_rating,-0.004113,0.004113
Agile - G,1,pass_block_finesse_rating,1.457226,1.457226
Agile - G,2,awareness_rating,1.337919,1.337919
Agile - G,3,run_block_finesse_rating,1.320377,1.320377
Agile - G,4,run_block_rating,0.814834,0.814834
Agile - G,5,strength_rating,0.675559,0.675559
Agile - G,6,lead_block_rating,0.57753,0.57753
Agile - G,7,pass_block_rating,0.352522,0.352522
Agile - G,8,agility_rating,0.30054,0.30054
Agile - G,9,impact_block_rating,0.26445,0.26445
Agile - G,10,accel_rating,0.161353,0.161353
Agile - G,11,speed_rating,0.102557,0.102557
Agile - G,12,stiff_arm_rating,-0.049451,0.049451
Agile - G,13,zone_cover_rating,0.017104,0.017104
Agile - G,14,stamina_rating,0.014115,0.014115
Agile - G,15,throw_under_pressure_rating,-0.012801,0.012801
Agile - G,16,block_shed_rating,-0.006847,0.006847
Agile - G,17,pass_block_power_rating,0.00609,0.00609
Agile - G,18,kick_acc_rating,0.001537,0.001537
Blocking - FB,1,tough_rating,3.485687,3.485687
Blocking - FB,2,run_block_power_rating,1.020568,1.020568
Blocking - FB,3,lead_block_rating,0.72513,0.72513
Blocking - FB,4,pass_block_rating,0.583038,0.583038
Blocking - FB,5,man_cover_rating,0.335389,0.335389
Blocking - TE,1,awareness_rating,1.957098,1.957098
Blocking - TE,2,break_tackle_rating,1.850188,1.850188
Blocking - TE,3,man_cover_rating,0.626029,0.626029
Blocking - TE,4,speed_rating,0.060333,0.060333
Blocking - TE,5,press_rating,0.021204,0.021204
Blocking - TE,6,change_of_direction_rating,0.000121,0.000121
Blocking - TE,7,run_block_finesse_rating,0.000113,0.000113
