archetype,n_players,alpha,r2,nonzero_coefs,accel_rating,agility_rating,awareness_rating,bcv_rating,block_shed_rating,break_sack_rating,break_tackle_rating,carry_rating,catch_rating,change_of_direction_rating,cit_rating,finesse_moves_rating,hit_power_rating,impact_block_rating,injury_rating,juke_move_rating,jump_rating,kick_acc_rating,kick_power_rating,kick_ret_rating,lead_block_rating,man_cover_rating,pass_block_finesse_rating,pass_block_power_rating,pass_block_rating,play_action_rating,play_rec_rating,power_moves_rating,press_rating,pursuit_rating,release_rating,route_run_deep_rating,route_run_med_rating,route_run_short_rating,run_block_finesse_rating,run_block_power_rating,run_block_rating,spec_catch_rating,speed_rating,spin_move_rating,stamina_rating,stiff_arm_rating,strength_rating,tackle_rating,throw_acc_deep_rating,throw_acc_mid_rating,throw_acc_short_rating,throw_on_run_rating,throw_power_rating,throw_under_pressure_rating,tough_rating,truck_rating,zone_cover_rating
Accurate - KP,9,0.269592,0.9429,3,-0.0,0.0,0.803836,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.006031,0.056093,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
Accurate - LS,24,0.155094,0.968323,19,0.516114,0.0,3.260846,0.0,0.0,-0.0,-0.0,0.0,0.0,0.503379,-0.321286,-0.0,0.0,0.0,1.857943,0.0,-0.0,0.0,-0.0,-0.0,0.120782,0.854515,-0.0,0.0,0.676026,0.0,-0.430151,-0.0,0.0,-0.0,-0.691873,-0.0,0.0,0.0,-0.0,0.0,0.49581,0.0,0.323426,1.021763,0.775433,0.0,-0.0,1.41581,-0.304629,-0.070776,-0.0,0.0,-0.313347,-0.24002,0.0,0.0,0.0
Agile - C,46,0.0238,0.999335,21,0.205469,0.12302,2.461381,0.0,-0.011957,-0.010509,-0.0,-0.064143,-0.0,0.0,0.0,0.134454,0.0,0.342098,0.0,-0.027937,-0.0,-0.0,-0.004113,-0.0,0.631878,-0.0,2.046097,0.0,0.468104,0.088869,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.212083,0.490609,0.661414,0.0,0.228724,-0.0,0.0,-0.0,0.420284,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.279749,-0.0,-0.046786
Agile - G,49,0.03387,0.998468,18,0.161353,0.30054,1.337919,-0.0,-0.006847,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26445,0.0,-0.0,0.0,0.001537,-0.0,0.0,0.57753,0.0,1.457226,0.00609,0.352522,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.320377,0.0,0.814834,0.0,0.102557,-0.0,0.014115,-0.049451,0.675559,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.012801,0.0,0.0,0.017104
Blocking - FB,6,0.880435,0.971546,5,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.72513,0.335389,-0.0,0.0,0.583038,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.020568,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,3.485687,-0.0,0.0
Blocking - TE,3,0.015768,0.999988,7,0.0,0.0,1.957098,0.0,0.0,0.0,1.850188,-0.0,0.0,0.000121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626029,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.021204,0.0,-0.0,0.0,-0.0,-0.0,0.000113,0.0,0.0,0.0,0.060333,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
Deep Threat - WR,197,0.016334,0.986973,35,0.365393,0.619373,1.444535,0.226819,-0.0,0.0,0.029819,-0.069451,0.898084,0.000631,0.677504,-0.077016,-0.13344,0.01313,-0.01736,0.727219,0.179845,-0.072254,-0.017045,0.144557,0.102456,0.08596,0.085413,0.034639,0.0,0.119265,0.0,-0.0,-0.176011,-0.021862,0.780726,0.348966,1.517338,0.349563,0.0,0.0,-0.102413,0.634736,0.732404,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.012329,-0.0,-0.074555,0.0,-0.0,0.244165
Elusive Back - HB,111,0.006651,0.999311,32,0.643797,1.074459,2.56785,1.031498,-0.0,-0.0,0.536868,1.089825,0.073292,0.754512,-0.0,-0.0,0.078538,-0.0639,0.023225,0.954468,0.0,-0.025576,0.0,-0.01498,0.071418,0.008755,-0.041665,0.001052,-0.024708,-0.0,0.0,-0.018355,-0.0,0.0,-0.004427,-0.0,-0.0,-0.017936,0.075695,0.0,-0.087962,-0.020954,0.891615,0.924711,-0.0,-0.0,0.01533,0.0,-0.034293,0.0,0.0,0.0,0.014759,-0.020664,-0.057011,-0.0,0.0
Field General - MLB,83,0.008833,0.999449,36,0.541598,0.265136,1.66218,-0.032695,0.854582,0.0,-0.109952,-0.052078,0.075847,0.259861,0.0,0.017252,0.029735,0.156335,-0.04516,-0.0,0.070416,0.042754,0.0,0.0,0.074306,0.406315,-0.0,-0.007282,0.001548,-0.070484,2.461693,0.0,0.046906,1.324299,-0.034161,-0.046938,-0.0,-0.002021,-0.0,0.0,-0.039214,0.00841,0.185926,0.072828,-0.076267,-0.0,0.776883,1.826455,-0.0,-0.0,-0.0,-0.010079,0.0,-0.0,0.024515,0.0,0.786339
Field General - QB,66,0.100524,0.992531,17,-0.0,0.00668,2.518175,0.221129,-0.0,0.588129,0.0,0.012948,0.079031,0.0,0.0,-0.0,-0.0,-0.28126,-0.0,0.0,-0.0,0.0,-0.0,-0.2951,-0.0,0.0,-0.0,0.014639,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.080646,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.186133,0.897968,2.659336,1.662363,0.988231,1.775346,0.593461,0.0,-0.0,0.0
